waypoint1	waypoint2	distance_m	duration_s
Ajanta Caves, Aurangabad, Maharashtra, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	973650	62554
Mehrangarh Fort, Jodhpur, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1003383	58854
Mehrangarh Fort, Jodhpur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1707834	101470
Mehrangarh Fort, Jodhpur, Rajasthan, India	Palolem Beach, Goa, India	1597217	96618
Kanha National Park, Madhya Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1234640	71600
Mehrangarh Fort, Jodhpur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1194823	70779
Dal Lake, Rainawari, Srinagar	Mehrangarh Fort, Jodhpur, Rajasthan, India	1183704	78502
Jog Falls, Karnataka, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1708380	100290
Mehrangarh Fort, Jodhpur, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	345005	21500
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	994853	58835
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	602720	36734
Charminar, Hyderabad, Telangana, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1603811	100982
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2422595	138048
Mehrangarh Fort, Jodhpur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1953905	118046
Kaziranga National Park, Kanchanjuri, Assam, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2548040	153537
Konark Sun Temple, Konark, Odisha, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1998729	129851
Marina Beach, Chennai, Tamil Nadu, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2310816	131806
Sabarmati Ashram, Ahmedabad, Gujarat, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	450297	26635
Solang Valley, Burwa, Himachal Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	996606	74895
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	444624	29314
Amer Fort and Palace, Jaipur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	251691	16654
Taj Mahal, Agra, Uttar Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	10657	1841
Maharajah's Palace, Mysore, Karnataka, India	Taj Mahal, Agra, Uttar Pradesh, India	2081880	118812
Swaminarayan Akshardham, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	212996	10298
Agra Fort, Agra, Uttar Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	6948	1296
Humayun's Tomb, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	215843	10584
Taj Mahal, Agra, Uttar Pradesh, India	Qutub Minar, New Delhi, Delhi, India	223142	11596
Taj Mahal, Agra, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1407923	84377
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	803179	50911
Taj Mahal, Agra, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1379394	80598
Gandhi Smriti, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	218319	10806
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	646330	39379
India Backwaters, Kochi, Kerala, India	Taj Mahal, Agra, Uttar Pradesh, India	2489853	145034
Golden Temple, Amritsar, Punjab, India	Taj Mahal, Agra, Uttar Pradesh, India	676364	37366
Ajanta Caves, Aurangabad, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1049871	72031
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1350490	84479
Taj Mahal, Agra, Uttar Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1745476	105361
Taj Mahal, Agra, Uttar Pradesh, India	Palolem Beach, Goa, India	1810086	118479
Kanha National Park, Madhya Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	780758	47644
Taj Mahal, Agra, Uttar Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	610073	34803
Dal Lake, Rainawari, Srinagar	Taj Mahal, Agra, Uttar Pradesh, India	1034045	63130
Jog Falls, Karnataka, India	Taj Mahal, Agra, Uttar Pradesh, India	1921250	122151
Taj Mahal, Agra, Uttar Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	244039	16051
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1351535	84762
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	219566	10858
Charminar, Hyderabad, Telangana, India	Taj Mahal, Agra, Uttar Pradesh, India	1348659	80989
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Taj Mahal, Agra, Uttar Pradesh, India	2402100	138079
Taj Mahal, Agra, Uttar Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1369155	82071
Kaziranga National Park, Kanchanjuri, Assam, India	Taj Mahal, Agra, Uttar Pradesh, India	1963290	117561
Konark Sun Temple, Konark, Odisha, India	Taj Mahal, Agra, Uttar Pradesh, India	1532680	101014
Marina Beach, Chennai, Tamil Nadu, India	Taj Mahal, Agra, Uttar Pradesh, India	1975433	115608
Sabarmati Ashram, Ahmedabad, Gujarat, India	Taj Mahal, Agra, Uttar Pradesh, India	921316	53587
Solang Valley, Burwa, Himachal Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	775254	55196
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	640469	42771
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	455736	29743
Maharajah's Palace, Mysore, Karnataka, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1821391	104620
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	641869	37545
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	412526	29413
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	644716	37831
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Qutub Minar, New Delhi, Delhi, India	652015	38843
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1157458	74101
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1165495	70688
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1118905	66405
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Gandhi Smriti, New Delhi, Delhi, India	647191	38053
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	784699	45747
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	India Backwaters, Kochi, Kerala, India	2229364	130842
Golden Temple, Amritsar, Punjab, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1105237	64613
Ajanta Caves, Aurangabad, Maharashtra, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	860734	61254
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1161353	73702
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1484987	91168
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Palolem Beach, Goa, India	1620949	107702
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Kanha National Park, Madhya Pradesh, India	377452	30448
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	426089	31405
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Dal Lake, Rainawari, Srinagar	1462918	90377
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Jog Falls, Karnataka, India	1765015	110723
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	632817	42168
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1162398	73986
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	648439	38105
Charminar, Hyderabad, Telangana, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1088170	66797
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	2141611	123886
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1305987	89641
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1900122	125131
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Konark Sun Temple, Konark, Odisha, India	1136043	85264
Marina Beach, Chennai, Tamil Nadu, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1714944	101416
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1037128	61104
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Solang Valley, Burwa, Himachal Pradesh, India	1204127	82443
Amer Fort and Palace, Jaipur, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	247544	16323
Maharajah's Palace, Mysore, Karnataka, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2071889	126437
Swaminarayan Akshardham, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	256739	16451
Agra Fort, Agra, Uttar Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	244026	15768
Humayun's Tomb, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	250031	15795
Amer Fort and Palace, Jaipur, Rajasthan, India	Qutub Minar, New Delhi, Delhi, India	240693	15164
Amer Fort and Palace, Jaipur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1172231	70053
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	565857	36385
Amer Fort and Palace, Jaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1602778	93227
Gandhi Smriti, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	252653	16162
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	410638	25056
India Backwaters, Kochi, Kerala, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2577136	155408
Golden Temple, Amritsar, Punjab, India	Amer Fort and Palace, Jaipur, Rajasthan, India	714483	40055
Ajanta Caves, Aurangabad, Maharashtra, India	Amer Fort and Palace, Jaipur, Rajasthan, India	978044	61884
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1184815	70736
Amer Fort and Palace, Jaipur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1629174	104669
Amer Fort and Palace, Jaipur, Rajasthan, India	Palolem Beach, Goa, India	1664005	107021
Kanha National Park, Madhya Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1004142	60273
Amer Fort and Palace, Jaipur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	857295	50467
Dal Lake, Rainawari, Srinagar	Amer Fort and Palace, Jaipur, Rajasthan, India	1072164	65819
Jog Falls, Karnataka, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1775168	110694
Amer Fort and Palace, Jaipur, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	8507	1303
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1176286	70717
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	254018	16298
Charminar, Hyderabad, Telangana, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1572043	93618
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2489383	148452
Amer Fort and Palace, Jaipur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1616378	97734
Kaziranga National Park, Kanchanjuri, Assam, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2210513	133225
Konark Sun Temple, Konark, Odisha, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1779903	116678
Marina Beach, Chennai, Tamil Nadu, India	Amer Fort and Palace, Jaipur, Rajasthan, India	2198817	128238
Sabarmati Ashram, Ahmedabad, Gujarat, India	Amer Fort and Palace, Jaipur, Rajasthan, India	685624	39263
Solang Valley, Burwa, Himachal Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	813374	57885
Maharajah's Palace, Mysore, Karnataka, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	2081239	118449
Swaminarayan Akshardham, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	196832	9571
Agra Fort, Agra, Uttar Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	3944	587
Humayun's Tomb, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	199679	9857
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Qutub Minar, New Delhi, Delhi, India	206978	10869
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1404683	83799
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	799939	50333
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1378753	80234
Gandhi Smriti, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	202154	10079
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	643090	38801
India Backwaters, Kochi, Kerala, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	2489211	144671
Golden Temple, Amritsar, Punjab, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	660200	36640
Ajanta Caves, Aurangabad, Maharashtra, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1049230	71667
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1349848	84115
Virupaksha Temple, Hampi, Karnataka, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1744835	104997
Palolem Beach, Goa, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1809445	118115
Kanha National Park, Madhya Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	780116	47280
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	617813	34915
Dal Lake, Rainawari, Srinagar	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1017881	62404
Jog Falls, Karnataka, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1920609	121788
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	240799	15473
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1350894	84398
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	203402	10131
Charminar, Hyderabad, Telangana, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1348018	80625
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	2401459	137715
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1376896	82182
Kaziranga National Park, Kanchanjuri, Assam, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1971031	117673
Konark Sun Temple, Konark, Odisha, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1540421	101126
Marina Beach, Chennai, Tamil Nadu, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1974792	115244
Sabarmati Ashram, Ahmedabad, Gujarat, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	918076	53009
Solang Valley, Burwa, Himachal Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	759090	54469
Maharajah's Palace, Mysore, Karnataka, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2284369	128324
Maharajah's Palace, Mysore, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	2070973	118324
Maharajah's Palace, Mysore, Karnataka, India	Humayun's Tomb, New Delhi, Delhi, India	2287216	128610
Maharajah's Palace, Mysore, Karnataka, India	Qutub Minar, New Delhi, Delhi, India	2294515	129622
Maharajah's Palace, Mysore, Karnataka, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1053260	60148
Maharajah's Palace, Mysore, Karnataka, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	2085907	121044
Maharajah's Palace, Mysore, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	715713	39749
Maharajah's Palace, Mysore, Karnataka, India	Gandhi Smriti, New Delhi, Delhi, India	2289692	128831
Maharajah's Palace, Mysore, Karnataka, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1778055	101612
Maharajah's Palace, Mysore, Karnataka, India	India Backwaters, Kochi, Kerala, India	398808	31611
Maharajah's Palace, Mysore, Karnataka, India	Golden Temple, Amritsar, Punjab, India	2747737	155392
Maharajah's Palace, Mysore, Karnataka, India	Ajanta Caves, Aurangabad, Maharashtra, India	1191680	72247
Maharajah's Palace, Mysore, Karnataka, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1051361	59754
Maharajah's Palace, Mysore, Karnataka, India	Virupaksha Temple, Hampi, Karnataka, India	416406	29386
Maharajah's Palace, Mysore, Karnataka, India	Palolem Beach, Goa, India	616217	38916
Maharajah's Palace, Mysore, Karnataka, India	Kanha National Park, Madhya Pradesh, India	1494094	85791
Maharajah's Palace, Mysore, Karnataka, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1972639	126419
Maharajah's Palace, Mysore, Karnataka, India	Dal Lake, Rainawari, Srinagar	3105418	181156
Maharajah's Palace, Mysore, Karnataka, India	Jog Falls, Karnataka, India	351540	26319
Maharajah's Palace, Mysore, Karnataka, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	2064912	124586
Maharajah's Palace, Mysore, Karnataka, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1052407	60038
Maharajah's Palace, Mysore, Karnataka, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	2290940	128884
Maharajah's Palace, Mysore, Karnataka, India	Charminar, Hyderabad, Telangana, India	713578	40295
Maharajah's Palace, Mysore, Karnataka, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	347979	28287
Maharajah's Palace, Mysore, Karnataka, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2603241	177943
Maharajah's Palace, Mysore, Karnataka, India	Kaziranga National Park, Kanchanjuri, Assam, India	3197376	213433
Maharajah's Palace, Mysore, Karnataka, India	Konark Sun Temple, Konark, Odisha, India	1602786	103760
Maharajah's Palace, Mysore, Karnataka, India	Marina Beach, Chennai, Tamil Nadu, India	489362	31705
Maharajah's Palace, Mysore, Karnataka, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1560164	88913
Maharajah's Palace, Mysore, Karnataka, India	Solang Valley, Burwa, Himachal Pradesh, India	2846628	173222
Agra Fort, Agra, Uttar Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	201955	10156
Swaminarayan Akshardham, New Delhi, Delhi, India	Humayun's Tomb, New Delhi, Delhi, India	9268	1083
Swaminarayan Akshardham, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	18134	2560
Swaminarayan Akshardham, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1424665	83724
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Swaminarayan Akshardham, New Delhi, Delhi, India	814349	50052
Swaminarayan Akshardham, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1589599	89804
Gandhi Smriti, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	5942	747
Swaminarayan Akshardham, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	663071	38727
India Backwaters, Kochi, Kerala, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2700057	154240
Golden Temple, Amritsar, Punjab, India	Swaminarayan Akshardham, New Delhi, Delhi, India	463987	27307
Ajanta Caves, Aurangabad, Maharashtra, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1230478	75555
Swaminarayan Akshardham, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1437249	84407
Swaminarayan Akshardham, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1955680	114567
Swaminarayan Akshardham, New Delhi, Delhi, India	Palolem Beach, Goa, India	1916438	120692
Kanha National Park, Madhya Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	990962	56850
Swaminarayan Akshardham, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	804324	42681
Dal Lake, Rainawari, Srinagar	Swaminarayan Akshardham, New Delhi, Delhi, India	821668	53071
Jog Falls, Karnataka, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2027602	124365
Swaminarayan Akshardham, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	264445	16998
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1428719	84388
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	7190	799
Charminar, Hyderabad, Telangana, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1558864	90195
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2612304	147285
Swaminarayan Akshardham, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1563406	89948
Kaziranga National Park, Kanchanjuri, Assam, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2157541	125439
Konark Sun Temple, Konark, Odisha, India	Swaminarayan Akshardham, New Delhi, Delhi, India	1726931	108891
Marina Beach, Chennai, Tamil Nadu, India	Swaminarayan Akshardham, New Delhi, Delhi, India	2185637	124814
Sabarmati Ashram, Ahmedabad, Gujarat, India	Swaminarayan Akshardham, New Delhi, Delhi, India	938058	52934
Solang Valley, Burwa, Himachal Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	562878	45137
Agra Fort, Agra, Uttar Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	202549	10356
Agra Fort, Agra, Uttar Pradesh, India	Qutub Minar, New Delhi, Delhi, India	209848	11368
Agra Fort, Agra, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1400893	83409
Agra Fort, Agra, Uttar Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	796149	49944
Agra Fort, Agra, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1374963	79845
Gandhi Smriti, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	205024	10578
Agra Fort, Agra, Uttar Pradesh, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	639300	38412
India Backwaters, Kochi, Kerala, India	Agra Fort, Agra, Uttar Pradesh, India	2485421	144281
Golden Temple, Amritsar, Punjab, India	Agra Fort, Agra, Uttar Pradesh, India	663070	37138
Ajanta Caves, Aurangabad, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	1045440	71278
Agra Fort, Agra, Uttar Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1346059	83726
